2025-05-12 17:18:07 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 479 flow
2025-05-12 17:18:07 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 484 flow
2025-05-12 17:18:07 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 484 flow
2025-05-12 17:18:07 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 487 flow
2025-05-12 17:18:07 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 490 flow
2025-05-12 17:18:07 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 493 flow
2025-05-12 17:18:07 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 496 flow
2025-05-12 17:18:07 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 499 flow
2025-05-12 17:18:07 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 501 flow
2025-05-12 17:18:07 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 504 flow
2025-05-12 17:18:07 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 507 flow
2025-05-12 17:18:07 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 510 flow
2025-05-12 17:18:07 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 515 flow
2025-05-12 17:18:07 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 515 flow
2025-05-12 17:18:07 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 517 flow
2025-05-12 17:18:07 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 520 flow
2025-05-12 17:18:07 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 523 flow
2025-05-12 17:18:07 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 525 flow
2025-05-12 17:18:07 DEBUG cic.cs.unb.ca.jnetpcap.PacketReader    Read All packets on C:\Desktop\VANN\Chunking\FL\Benign_test\packets_44-61-32-e8-88-2f_1.pcap
2025-05-12 17:18:07 DEBUG cic.cs.unb.ca.jnetpcap.worker.ReadPcapFileWorker    Working on... C:\Desktop\VANN\Chunking\FL\Benign_test\packets_44-61-32-e8-88-2f_2.pcap
2025-05-12 17:18:07 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 4 flow
